full_company_name,year,listing_day,current_return,ipo_category
"Interarch Building Products Ltd.",2024,32.86,98.52,Average
"Innova Captab Ltd.",2023,20.85,94.59,Average
"Diffusion Engineers Ltd.",2024,20.93,93.12,Average
"J.G.Chemicals Ltd.",2024,-16.45,91.02,Average
"Billionbrains Garage Ventures Ltd.",2025,31.33,90.05,Average
"Vidya Wires Ltd.",2025,2.25,89.52,Average
"Zinka Logistics Solutions Ltd.",2024,-4.74,88.90,Average
"Indiqube Spaces Ltd.",2025,-8.03,88.50,Average
"GNG Electronics Ltd.",2025,40.67,88.50,Average
"Electronics Mart India Ltd.",2022,43.22,85.85,Average
"eMudhra Ltd.",2022,0.74,82.91,Average
"Shreeji Shipping Global Ltd.",2025,1.23,82.58,Average
"Macrotech Developers Ltd.",2021,-4.27,81.45,Average
"Rategain Travel Technologies Ltd.",2021,-19.99,81.33,Average
"Jyoti CNC Automation Ltd.",2024,31.18,80.56,Average
"Jupiter Life Line Hospitals Ltd.",2023,46.36,79.47,Average
"Garuda Construction & Engineering Ltd.",2024,11.96,79.11,Average
"Aether Industries Ltd.",2022,20.62,78.01,Average
"Park Medi World Ltd.",2025,-8.67,76.48,Average
"Windlas Biotech Ltd.",2021,-11.49,76.20,Average
"Ratnaveer Precision Engineering Ltd.",2023,31.99,74.08,Average
"Rashi Peripherals Ltd.",2024,3.38,73.46,Average
"Gala Precision Engineering Ltd.",2024,43.13,73.13,Average
"Veranda Learning Solutions Ltd.",2022,-4.20,73.10,Average
"Emcure Pharmaceuticals Ltd.",2024,34.84,73.09,Average
"Cyient DLM Ltd.",2023,58.72,72.81,Average
"Stove Kraft Ltd.",2021,15.83,69.42,Average
"UTI Asset Management Co.Ltd.",2020,-14.04,67.69,Average
"Concord Biotech Ltd.",2023,27.23,67.04,Average
"BLS E-Services Ltd.",2024,171.11,66.70,Average
"Le Travenues Technology Ltd.",2024,78.19,64.46,Average
"SBFC Finance Ltd.",2023,61.75,63.70,Average
"Happy Forgings Ltd.",2023,21.27,63.40,Average
"Corona Remedies Ltd.",2025,35.44,60.26,Average
"Borana Weaves Ltd.",2025,18.13,57.18,Average
"PB Fintech Ltd.",2021,22.68,56.84,Average
"Latent View Analytics Ltd.",2021,148.10,55.41,Average
"India Shelter Finance Corp.Ltd.",2023,10.49,54.74,Average
"Fujiyama Power Systems Ltd.",2025,-8.58,54.67,Average
"ASK Automotive Ltd.",2023,9.96,54.36,Average
"Jain Resource Recycling Ltd.",2025,37.09,54.14,Average
"Mamata Machinery Ltd.",2024,159.26,52.96,Average
"ICICI Prudential Asset Management Co.Ltd.",2025,19.44,52.94,Average
"Emmvee Photovoltaic Power Ltd.",2025,1.11,51.68,Average
